date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:36	32536/32536	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%227f18-657400da-320c9;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/et-line.ttf	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/et-line.ttf	(from https://html.dynamiclayers.net/dl/naven/light/css/elegant-line-icons.css)
14:34:37	175537/175537	---M-Z	200	added ('OK')	image/svg+xml	etag:%222adb1-657400da-320c8;gz%22	https://html.dynamiclayers.net/dl/naven/light/fonts/et-line.svg	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/fonts/et-line.svg	(from https://html.dynamiclayers.net/dl/naven/light/css/elegant-line-icons.css)
14:34:37	15933/15933	---M--	200	added ('OK')	image/png	etag:%223e3d-657400ee-32568;;;%22	https://html.dynamiclayers.net/dl/naven/light/css/venobox/preload-circle.png	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/css/venobox/preload-circle.png	(from https://html.dynamiclayers.net/dl/naven/light/css/venobox/venobox.css)
14:34:37	1144/1144	---M--	200	added ('OK')	image/gif	etag:%22478-657400ee-32564;;;%22	https://html.dynamiclayers.net/dl/naven/light/css/venobox/close.gif	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/css/venobox/close.gif	(from https://html.dynamiclayers.net/dl/naven/light/css/venobox/venobox.css)
14:34:37	1177/1177	---M--	200	added ('OK')	image/gif	etag:%22499-657400ee-32570;;;%22	https://html.dynamiclayers.net/dl/naven/light/css/venobox/prev.gif	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/css/venobox/prev.gif	(from https://html.dynamiclayers.net/dl/naven/light/css/venobox/venobox.css)
14:34:37	1177/1177	---M--	200	added ('OK')	image/gif	etag:%22499-657400ee-32566;;;%22	https://html.dynamiclayers.net/dl/naven/light/css/venobox/next.gif	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/css/venobox/next.gif	(from https://html.dynamiclayers.net/dl/naven/light/css/venobox/venobox.css)
14:34:38	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Dec%202023%2010:34:49%20GMT	https://html.dynamiclayers.net/dl/naven/light/css/owl.video.play.png	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/css/owl.video.play.png	(from https://html.dynamiclayers.net/dl/naven/light/css/owl.carousel.css)
14:34:38	1252/1252	---M--	200	added ('OK')	image/png	etag:%224e4-657400da-320e7;;;%22	https://html.dynamiclayers.net/dl/naven/light/img/doted-pattern.png	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/img/doted-pattern.png	(from https://html.dynamiclayers.net/dl/naven/light/css/main.css)
14:34:39	1236/1236	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Dec%202023%2010:34:50%20GMT	https://html.dynamiclayers.net/dl/naven/light/popper.js	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/popper.js	(from https://html.dynamiclayers.net/dl/naven/light/js/vendor/bootstrap.min.js)
14:34:39	252195/252195	---M--	200	added ('OK')	image/jpeg	etag:%223d923-657400da-320ea;;;%22	https://html.dynamiclayers.net/dl/naven/light/img/hero-bg.jpg	C:/Users/Lenovo/Desktop/Project/html.dynamiclayers.net/dl/naven/light/img/hero-bg.jpg	(from https://html.dynamiclayers.net/dl/naven/light/css/main.css)
